Num. Shots,The Organizer RAW Score,Prompt Wranglers RAW Score
0,0.0,0.053986601615919685
1,0.04216001252309727,0.03766969962355828
2,0.050116161754070396,0.07374400793926728
3,0.08410839392306388,0.04696789257501259
4,0.10464583292078845,0.09575014764193285
5,0.16293058567446117,0.0953043633606706
6,0.1940123583780943,0.10238289712529129
7,0.2288513130043556,0.09097032164284705
8,0.26309443092750884,0.06894351530924911
9,0.2533854122089831,0.10103726998225636
10,0.24724043645931118,0.11118157942645167
11,0.3546319643729105,0.08511508811308796
12,0.37355001218132683,0.11268351108535614
13,0.4183965440337738,0.1485523255781182
14,0.41996365215751774,0.09752755014862258
15,0.3969532527290023,0.18097395742905495
16,0.43943373498724114,0.16326126877510388
17,0.48240921235022743,0.18761907936480732
18,0.49997284128075753,0.12577464823530507
19,0.49705630818588803,0.18850924921152032
20,0.531078497446365,0.11398668023832427
21,0.5506552931274006,0.13030321535495404
22,0.5849772393382348,0.17693003258550438
23,0.6154874993869554,0.2772218757010995
24,0.559651220553944,0.2677011637332342
25,0.5587143602853815,0.2762482104859113
26,0.6148206160649289,0.3254601064920379
